# salmonsen/2/7/Articles.lst
#
index|Titel och innehåll|0001 0003
|Everest, Sir George, engelsk Ingeniørofficer, (1790-1866)|0631
|Everett, Navn paa flere Byer i U. S. A., bl. hvilke fremhæves |0631
|1) E. i Massachusetts, ligger 3 km N. f. Boston ved Mystic River|0631
|2) E. i Washington, ligger ved Snohomish Rivers Udløb i Puget Sound|0631
|Everett, |0631
|1) Alexander, nordamer. Diplomat (1790-1847)|0631
|2) Edvard, (1794-1865) unitarisk Præst og Professor|0631
|Everghem, By i Belgien, Prov Østflandern, ligger 7 km N. f. Gent|0631
|Everglades, Sumpstrækning i den sydlige Del af Halvøen Florida i Nordamerika|0631-0632
|Everlasting, se Lasting.|0632
|Evernia Ach., Slægt af Laver med buskformet Løv|0632
|Evers, Franz, tysk Digter, (1871- )|0632
|Ever Sand, Sandbanke i Mundingen af Weser, 12 Sm. NV. til N. f. Bremerhaven|0632
|Evershed, John, engelsk Astrofysiker, (1864- )|0632
|Eversion (lat.), Omvæltning, Kuldkastelse.|0632
|Eversley, Lord, se Shaw Lefevre, G.|0632
|Evert, et mindre Sejlskib som oftest af nordtysk ell. holl. Nationalitet|0632
|Evertebrata, Hvirvelløse Dyr,  der ikke har Knogler, egl. Ryghvirvler|0632
|Evertsen, |0632
|1) Johan, hollandsk Admiral, (1600-1666)|0632
|2) Cornelius, holl. Admiral, (1610-1666)|0632-0633
|Everyman, »Enhver«, »Alverden«, Navnet paa en eng. Moralitet fra 15. Aarh.|0633
|Evesham, By i det vestlige England, Worcestershire, 23 km SØ. f. Worcester|0633
|Eviati (med Tilnavnet les bains), fr. Badested i Dept Haute Savoie|0633
|evictio (lat.), i romanistisk Retsvidenskab: at en Ting, som en Person har tilforhandlet sig, bliver ham fravindiceret af Trediemand|0633
|Evidement, Udtømmelse af sygt Væv, især Benvæv ved en Operation, der foretages med skarp Ske.|0633
|evident, det der for Bevidstheden staar som umiddelbart indlysende og utvivlsomt rigtigt|0633
|evige Fred, se Fredssagen.|0633
|evige Jøde ell. vandrende Jøde, paa Dansk Jerusalems Skomager; se Ahasverus.|0633
|evige Lys kaldes de Lamper, som i de rom.-kat. Kirker brænder foran det Alter, hvor den indviede Hostie opbevares.|0633
|evige Stad (lat. Urbs æterna), Navn for Rom, allerede officielt anvendt i 4. Aarh.|0633
|Evighed betegner i sin abstrakte Form en Modsætning til Tiden|0633-0634
|Evighedsblomst, se Gnaphalium.|0634
|evig Ild, evig Straf, evigt Liv, se Evighed.|0634
|Evigtokit, d. s. s. Gearksutit.|0634
|evig Vikar (vicarius perpetuus ell. altarista) i den kat. Tid: de Gejstlige, der var knyttede til de mindre Altre|0634
|Evil Merodak (d. e. »Guden Merodaks Menneske«), Konge i Babylon (561-559)|0634
|Eving, Bjergværks- og Fabrikflække i Preussen, Prov. Westfalen, ligger 4 km NØ. f. Dortmund|0634
|Evisceration (lat.), en Fødselsoperation (Underafdeling af Embryotomien)|0634
|Evje, Herred, Sætersdalens Fogderi, Nedenæs Amt|0634-0635
|Evje, Herregaard i Rygge Herred, Smaalenenes Amt|0635
|Evje Nikkelværk blev efter nogle Aars Prøvedrift grundlagt 1872 Evne|0635
|evocati (lat.), »opraabte«, »udkaldte«, *c: udtjente Folk af den rom. Hær, der paa ny forpligtede sig|0635-0636
|Evoë, se Euoi.|0636
|Evokation (lat.), hos Romerne |0636
|1) Udskrivning af Mandskab til Krig (evocatio militiæ), |0636
|2) Besværgelse af Afdødes Aander (evocatio inferorum, manum, mortuorum), |0636
|3) en højtidelig Ceremoni, hvorved rom. Præster foran en fjendtlig By besvor dennes Skytsguder om at forlade den|0636
|Evolena (Évolène), Landsby i Schweiz, Kanton Wallis, 18 km SØ. f. Sion (Sitten)|0636
|evolere, se Evolution.|0636
|Evolut, se Evolvent.|0636
|Evolution (lat.) er en Bevægelse med en sluttet Afdeling, der har en Formationsforandring  til Maal|0636
|Evolution, Evolutionslære, se Udviklingslære.|0636
|evolutio spontanea (lat.), Selvudvikling, kaldes den særegne Maade, hvorpaa et i Skraaleje liggende Foster kan fødes|0636
|Evolvent (mat.)|0636
|Evolventhjul, se Tandhjul.|0636
|evolvere (lat.), udvikle, udfolde; udbrede sig. |0636
|Evora, By i det sydlige Portugal, Ærkebispesæde og Hovedstad i Prov. Alemtejo|0636-0637
|Évora d'Alcobacç, se Alcobaça.|0637
|Evorsion kaldes i Geologien Vandfaldenes udhulende Indvirkning paa Jordskorpen.|0637
|Evreux , By i det nordvestlige Frankrig, Hovedstad i Dept Eure (Normandie), 108 km VNV. f. Paris|0637
|Evron, By i det nordvestlige Frankrig, Dept Mayenne, 33 km NØ. f. Laval ved et lille Tilløb til Mayennes Biflod Jouanne|0637
|Evviva (ital.), Leve!|0637
|Ewa Chamavorum ell. Lex Francorum Chamavorum er Navnet paa de ved Nedre-Rhinen og Yssel boende charnaviske Frankers Lov|0637
|Ewald, Carl, dansk Officer, (1789-1866)|0637
|Ewald, Carl, dansk Forf., (1856-1908)|0637
|Ewald, Enevold, dansk Præst, (1696-1754)|0637-0638
|Ewald, Georg Heinrich August, tysk Orientalist og Bibelfortolker, (1803-1875)|0638
|Ewald, Herman Frederik, dansk Forf., (1821-1908)|0638-0639
|Ewald, Johann, dansk Officer, (1744-1813)|0639
|Ewald, Johannes, dansk Digter, (1743-1781)|0639-0642
|Ewald, Karl Anton, tysk Læge, (1845-1915)|0642-0643
|Ewald, Richard Julius, tysk Fysiolog, (1856- ) |0643
|Ewart, William, eng. Politiker, (1798-1869)|0643
|Ewe, Gruppe af Negerfolk paa Øvreguineas Kyst mellem Floderne Volta og Mono|0643
|Ewst (Ewest), Biflod til den vestrussiske Flod Düna (s. d.)|0643
|ex... (Artikler, der savnes herunder, maa søges under eks ...).|0643
|ex, foran Konsonanter hyppig e (lat. Præposition), ud af. Foran Ord, der betegner et|0643
|Embede, en Værdighed, bet. det i senere Latin undertiden »forhenværende«|0643
|ex abrupto (lat.), pludselig.|0643
|Exactor, i Middelalderen: den kgl. Embedsmand, der i de danske Kilder kaldes for Ombudsmand, senere for Lensmand|0643
|ex adverso (lat.), lige over for, forfra.|0643
|Exalgin, Metylacetanilid, C<sub>6</sub>H<sub>5</sub>N(CH<sub>3</sub>)C<sub>2</sub>H<sub>3</sub>O|0643
|Exaltados (sp.: »eksalterede«), i Spanien efter Revolutionen 1820 Navn paa det yderliggaaende demokratiske Parti|0643
|examinatus juris (lat., forkortet til exam. jur.): den, der har bestaaet jur. Eksamen for Ustuderede (»dansk jur. Eksamen«)|0643
|ex analogia (lat.), ifølge Analogi.|0643
|ex animo (lat.), af Hjertet, frivillig; for Alvor, oprigtig.|0643
|ex asse (lat.), fuldstændig, helt og holdent (modsat ex parte)|0643
|exauctoritas (lat.), hos Romerne Afskedigelse fra Krigstjeneste|0643
|exaudi (lat.), »hør mig«, kaldes 6. Søndag efter Paaske|0643
|ex auditorio (lat.), blandt Tilhørerne; f. Eks. ved Disputatser: en Opponent e. a.|0643
|ex bene placito (lat.), efter Forgodtbefindende.|0643
|exc., Forkortelse for excudit (lat.: har forfattet, udgivet)|0643
|ex capite (lat.), i Henhold til en Paragraf; af en retslig Grund.|0643
|ex cathedra (lat.), »fra Lærestolen«. Pavens Afgørelser i Tro og Lære e. c. *c: er efter det vatikanske Koncils Beslutning ufejlbare.|0643
|ex causa lucrativa, ex causa onerosa. Inden for Obligationsforhold|0643
|excelsior (lat.), Komparativ af Adjektiv excelsus, fremragende, høj, ophøjet|0643
|exceptio. I  Formularprocessen, hvor Prætor, i formula indføjede Ordre til Dommeren om undtagelsesvis ikke at domfælde|0643-0645
|exceptis excipiendis (lat.), med Undtagelse af det, der bør undtages; altsaa: med det fornødne Forbehold.|0645
|exces de pouvoir (fr.), Overskridelse af Myndighed|0645
|exchange (eng.), Veksling, Ombytning; det engelske Navn for Børs.|0645
|exchequer (eng.). i England i den ældre Middelalder Betegnelsen for Skatkammeret|0645-0646
|Exchequer Bills (eng.), Gældsbeviser, der tidligere udstedtes af den eng. Statskasse|0646
|éxcipe (lat.), undtag.|0646
|Bxcitantia (lat.), hurtig og stærkt virkende Pirringsmidler, som Alkohol, Æter, Hoffmannsdraaber, Coffeiin, Kaffe, o. s. v.|0646
|Exclusiva, den Ret, som hver af de større kat. Stater har til at erklære en Kardinal for udelukket ved Pavevalget|0646
|Excoecaria L., Slægt af Vorte-mælkfamilien, Buske ell. Træer|0646
|ex composito (lat.), efter Aftale.|0646
|ex consensu gentium (ell. omnium) (lat.), efter alles overensstemmende Mening.|0646
|ex decreto (lat.), efter retslig Kendelse.|0646
|ex die (lat.), egl. »fra den Dag af«|0646
|Exe, Ex, Flod i det sydvestl. England, udspringer i Exmoor i Somersetshire|0646
|exeat (lat.), »han maa gaa bort«, biskoppelig Tilladelse for en Gejstlig til at tage mod et Embede i et andet Stift.|0646
|executor testaménti, se Eksekutor.|0646
|Exedra, (gr.), »Udsæde«, et Sted, hvor man er i ikke-lukket Rum, mere eller mindre under aaben Himmel|0646
|exegi monumentum, ære perennius (lat.), »Jeg har oprejst et Mindesmærke, der er varigere end Malm«|0646
|Exelmans, René Joseph Isidor, fr. Marskal, (1775-1852)|0646
|exempli causa, se Eksempel.|0646
|exemplificatio (nylat.), Forklaring, Bevis ved Eksempler, exemplificatio documenti, bekræftet Afskrift af et Dokument.|0647
|exempli gratia, se Eksempel.|0647
|exequiæ, hos Romerne den højtidelige Ligbegængelse og overhovedet Begravelsesceremonierne|0647
|exercitia spiritualia (lat.: aandelige Øvelser) i den rom.-kat. Kirke|0647
|Exergue (fr.) kaldes i Numismatikken et paa Mønter under Møntbilledet afdelt Segment|0647
|ex est (lat., ikke klassisk), det er forbi.|0647
|Exeter, By og Grevskab i det sydvestlige England, ved den sejlbare Flod Exe, 15 km fra dens Munding i Kanalen|0647
|Exeter, Fabrikby i U. S. A., Stat New Hampshire, ligger 15 km SV. f. Portsmouth ved Squamscott River|0647
|exeunt (lat.), de gaar; e. omnes, alle gaar; exit, han (ell. hun) gaar. Bruges ved Sceneangivelser i engelske Skuespil.|0647
|exhibition, Udstilling, navnlig Verdensudstilling.|0647
|ex Hypothesi (lat., af gr.), ifølge en Forudsætning.|0647
|Exidia Fr., Slægt af Bævresvampe, med bruskagtige-geléagtige, paa Undersiden haarede Frugtlegemer|0647
|ex improviso (lat.), uformodet, uforudset.|0647
|existimatio betegner i den rom. Ret den enhver uberygtet civis Romanus tilkommende borgerlige Ære|0647-0648
|exitus (lat.), Udgang, Ende, Resultat.|0648
|ex jure (lat.), paa Rettens Vegne.|0648
|exlex (lat.), uden for Loven, om den, der er stillet uden for Lovenes Beskyttelse ell. har sagt sig selv løs fra dem|0648
|Ex libris (lat.) (hermed en Tavle) betyder: af (N. N.'s) Bøger; hørende til N. N.'s Bogsamling|0648-0650
|ex mandato (lat.), efter Befaling, Bemyndigelse.|0648
|Exmoor Forest, et øde Bjergstrøg i den nordlige Del af Halvøen Cornwall i det sydvestlige England|0648
|ex more (lat.), iflg. Vedtægt, Skik og Brug.|0648
|Exmouth, Søstad i det sydvestl. England, Devonshire, ved Mundingen af Exe|0648
|Exmouth, Edward Pellew, Viscount, eng. Admiral, (1757-1823)|0648 0651
|Exner, Adolf, Østerrigsk Retslærd, (1841-1894)|0651
|Exner, Johan Julius, dansk Maler, (1825-1910)|0651-0652
|Exner, Siegmund, østerrigsk Nervefysiolog, (1846- )|0652
|Exner, Wilhelm Franz, østerrigsk Teknolog, (1840- )|0652
|ex nexu (lat.), ud af Forbindelsen eller Sammenhængen.|0652
|ex nihilo nihil fit (lat.), af intet opstaar intet|0652
|Exoascus, se Taphrinaceæ.|0652
|Exobasidium Woronin, Svampeslægt staaende nær ved Barksvampene|0652
|Exocarpus Labill., Slægt af Sandelfamilien, Buske ell. Træer|0652
|Exocherda Lindl., Slægt af Rosen-Fam. (Quillaja-Gruppen), løvfældende Buske|0652
|Exocoetus, se Makrelgedder.|0652
|Exodermis (bot., egl. »Yderhud«) kaldes i Rodens Anatomi det umiddelbart under Huden liggende Barklag|0652
|Exodium (lat), Afslutning, Udgang. - Hos Romerne et lystigt Efterspil paa Teatret|0652
|Exodus (gr. exodos »Udgang«), den sædvanlige Betegnelse for 2. Moseb.|0652
|ex officio (lat.), paa Embedsvegne.|0652
|Exofthalmos (gr.) kaldes det, naar Øjeæblet træder længere frem i Øjehulen, end det skal|0652
|Exogonium Ghoisy, Slægt af Snerlefam., slyngende, fleraarige Urter ell. Buske|0652
|Exomis (gr.), »udskuldret«, et i Reglen ærmeløst Klædningsstykke af solidt Tøj|0652-0653
|exoneratio (lat.), Befrielse for Skyld; Eksonerationsbevis, Uskyldighedsbevis.|0653
|exordium (lat.), Indledning til en Tale.|0653
|exoriare aliquis nostris ex ossibus ultor (lal.), du, hvem det end er, skal opstaa af mit Støv som en Hævner|0653
|ex oriente lux (lat.), fra Østen kommer Lyset.|0653
|Exosporium (lat.) (bot.) er Sporers og Støvkorns yderste Hinde|0653
|Exostema Pers., Slægt af Krapfam., nær Cinchona, Træer ell. Buske|0653
|Exostra (gr.), |0653
|1) en Teatermaskine, anvendt i Oldtiden fra 3. Aarh. f. Kr.|0653
|2) I  Militærteknikken  en  Art  Faldebro|0653
|ex pacto et convento (lat.), efter Aftale og Overenskomst.|0653
|ex parte (lat.), for en Del.|0653
|Expectorantia (lat.), Lægemidler, der letter Ophostningen|0653
|expediatur, se ekspedere.|0653
|experientia est optima rerum magistra (lat.) *c: Erfaringen er den bedste Læremester.|0653
|Expert, Henri, fr. Musikforf., (1863- )|0653
|experto credite (lat.) *c: tro den erfarne!|0653
|explicit (liber) (lat.), »her ender Bogen«|0653
|explicite (lat.), klart, uden Vanskelighed (modsat impllcite, indviklet).|0653
|exposé (fr.), Fremstilling, Udvikling, Oversigt.|0653
|ex post facto (nylat.), bagefter, efter fuldført Handling.|0653
|Expres, tjenstlig gebyrpligtig Angivelse i internationale Telegrammer, = Bud betalt|0653
|expressis verbis (lat.), udtrykkelig.|0653
|ex professo (lat.), efter egen Tilkendegivelse, aabenlyst; paa Embeds Vegne.|0653
|ex propriis eller proprio (lat.), ved egne Midler; ex proprio Marte, ved egen Kraft, paa egen Haand.|0653
|ex protocollo (lat.), ifølge Protokollens Udsagn.|0653
|ex recensione (lat.), efter (N. N.'s) Recension|0653
|ex schedula (lat.), (læse) fra Bladet.|0653
|Exsiccantia (lat.), udtørrende Lægemidler|0653-0654
|Exsiccata, d. s. s. Ekssikkatsamling.|0654
|ex speciali gratia (lat.), ved særlig Naade.|0654
|ex speciali mandato (lat.), efter særlig Bemyndigelse.|0654
|Exsultet, en latinsk Salme: E. jam angélica turba (»Det jublede i Englekor«)|0654
|Exsurge Domine (»Stat op, Herre!«) kaldes efter Begyndelsesordene den Bulle, som Pave Leo X 1520 udstedte mod Luther.|0654
|ex tempore (lat.), uforberedt,|0654
|Exter, Julius, tysk Maler, (1863- )|0654
|Exter, Karl, tysk Ingeniør, (1816-1870)|0654
|extispex (lat.: »Indvoldebeskuer«), Sandsiger, som tager Varsler af Offerdyrenes ædlere Indvolde|0654
|Extractum, d. s. s. Ekstrakt.|0654
|extra culpam (lat.), uden Skyld.|0654
|Extrados (af lat. extra, uden for, og dos, Ryg) kaldes den ydre, konvekse Overflade, Rygfladen, af en Hvælving ell. Bue|0654
|extra ecclesiam nulla salus (lat.), »uden for Kirken ingen Frelse«.|0654
|Extraits, se Esprits.|0654
|extra lineas (lat.), egl. »uden for Linierne«, hvad ikke anslaas, ikke regnes med.|0654
|extra muros (lat.), uden for Murene.|0654
|extraneus (lat.). fremmed, Udlænding, e. ell. ekstern: den, der frekventerer en Undervisningsanstalt e. l. uden at bo der|0654
|extraordinarius (lat.), uden for Ordenen, overordentlig|0654
|extra ordinem (lat.), uden for Ordenen.|0654
|Extravagantes, se Kanonisk Ret.|0654
|extremo, in (lat.), se Ekstrem.|0654
|Exuma-Øerne, en lille Gruppe af Bahama-Øerne i Vestindien|0654
|ex ungue leonem (latinsk Ordsprog), paa Kløerne (kender man) Løven.|0654
|ex usu (lat.), ifølge Skik og Brug.|0654
|ex voto, lat, »efter Løfte«, underforstaaet: til en Guddom|0654
|ex aequo et bono (lat.), ifølge Ret og Billighed.|0654
|Eybl, Franz, østerr. Maler og Litograf, (1806-1880)|0654
|Eybler, Joseph von, østerrigsk Musiker (1764-1846)|0654
|Eyck, Hubert (1370-1426) og Jan (o.1390-1441) van, Grundlæggerne af den nederlandske Malerskole|0654-0657
|Eycken, Jean Baptiste van, belg. Historiemaler, (1809-1853)|0657
|Eyde, Samuel, norsk Ingeniør, Generaldirektør, (1866- )|0657
|Eydtkuhnen, Flække i Preussen, Prov. Østpreussen, ligger 11 km Ø. f. Stallupönen ved den russ. Grænse|0657
|Eye, August von, tysk Kunst- og Kulturhistoriker, (1825-1896)|0658
|Eyemouth, Fiskerhavn paa Skotlands Østkyst, c. 3 Sm. S. f. St Abbs Head|0658
|Eygotaland, Øgoternes Land, i Oldtiden det til det danske Rige hørende samlede Antal af Øer mellem Jylland og Skaane|0658
|Eyjafjalla Jökull, en stor (1666 m), isdækket Vulkan ved Islands Sydkyst|0658
|Eyjafjördur (Øfjord), den længste og smukkeste Fjord i det nordlige Island, 60 km lang og 15 km bred ved Mundingen|0658
|Eyjolfr inn halti Guðmundarson, isl. Herredshøvding (goði) i Eyja-Fjorden i den nordlige Del af Island, ( -e.1060)|0658
|Eyjólfr Þorsteinsson ofsi, (1224-1255), spillede en fremtrædende Rolle i Islands Historie efter 1250|0658
|Eylau (Eilau), mindre By i Provinsen Østpreussen, c. 36 km SØ. f. Königsberg|0658-0659
|Eylime, nord. Sagnkonge, Fader til Kong Sigmund's Hustru Hjørdis; se Volsung-slægten.|0659
|Eymundarsaga kaldes en lille Saga, der kun findes som et indskudt Afsnit i Olaf den Hellige's Saga i Flatø-Bogen|0659
|Eynard, Jean Gabriel, schweizisk Bankier, (1775-1863)|0659
|Eyra (Félis eira), en Katteart, henhørende til en lille Gruppe, udelukkende amer., Katte|0659
|Eyrarbakki (Ørebak), en Handelsplads i det sydlige Island Ø. f. Mundingen af Ølfusá|0659
|Eyrbyggjasaga kaldes en af de større isl. Slægtssager, opkaldt efter Beboerne af Gaarden Eyrr i Snæfjeldsnes Syssel|0659
|Eyre, Edward John, eng. Opdagelsesrejsende i Australien (1815-1901)|0659-0660
|Eyre, Lake, Saltsø i Sydaustralien, ligger 12 m lavere end Havfladen|0660
|Eyria, Halvø paa Sydsiden af Australien, begrænses af Austral-Bugten, Spencer-Bugten og Gawler Range|0660
|Eyskegger, no. Oprørsflok mod Kong Sverre (1193-94)|0660
|Eysoldt, Gertrud, tysk Skuespillerinde, (1870- )|0660
|Eystein , norsk Mandsnavn (af ey: Ø, og stein).|0660
|Eystein Erlendssøn, Norges anden Ærkebiskop, tilhørte en anset, med Kongehuset beslægtet trøndersk Æt|0660
|Eystein Haraldssøn, norsk Konge,  ( -1157)|0660-0661
|Eystein Magnussøn, norsk Konge, ( -1123)|0661
|Eystein Meyla, norsk Partihøvding i 12. Aarh. ( -1177)|0661
|Eysteinn Asgrímson, en af de faa navngivne Digtere paa Island i 14. Aarh.|0661
|Eystein Orre, norsk Høvding i 11. Aarh.|0661-0662
|Eystrahorn, en Fjeldpynt (7-800 m) paa Islands sydøstlige Kyst ved Lónafjördur NØ. f. Bygden Len|0662
|Eystrasalt, ordret: Østersalt (Salt = Hav), er et gammelt Navn paa Østersøen|0662
|Eytelwein, Johann Albert, tysk Ingeniør, (1764-1848)|0662
|Eyton , Robert William, eng. Arkæolog og Genealog (1815-81)|0662
|Eyvind (norsk Eivind; hos Bjørnson og i norsk Dagligtale Øjvind), norsk og isl. Mandsnavn|0662
|Eyvindr Finnsson Skaldaspiller, en af de dygtigste norske Oldtidsskjalde, (o. 910-90)|0662
|Eyzies, les. Landsby i det  sydvestlige Frankrig, Dept Dordogne ved Floden Vézère|0662
|Ezechias, se IIizkija.|0662
|Ezechiel, se Hezechiel.|0662
|Ezekiel, Moses Jacob, amer. Billedhugger, (1844- )|0662
|Ezida, Nebo's Tempel i Borsippa nær ved Babylon|0662
|Ezzelino III da Romano, (1194-1259), nedstammede fra en tysk|0662-0663
|Eötvös, Josef, Baron, ung. Statsmand og Forf, (1813-1871)|0663
|F er det sjette Bogstav i vort Alfabet|0664
|Fa, se Solmisation.|0664
|Faaberg, øverste Gaard i Jostedalen i Sogn|0664
|Faaberg , Herred, Søndre Gudbrandsdalens Fogderi, Kristians Amt|0664
|Faaborg, Købstad paa Fyens Sydvestkyst, Salling Herred, Svendborg Amt|0664-0666
|Faaborg, Hans, Slotsskriver paa Kbhvn's Slot ( -1516)|0666
|Faaborg, Rasmus Christian, dansk Operasanger, Tenor, (1811-1857)|0666
|Faaborg, Theodor Christian, dansk Officer, (1814-1864)|0666-0667
|Faaborg Fjord, paa Sydsiden af Fyn, Farvandet N. f. Bjørnø og de fra denne Ø's Østende udgaaende Grunde, Gryderne|0667
|Fåhræus, Olga, født Björkegren, sv. Skuespillerinde, (1857- )|0667
|Fåhræus, |0667
|1) Olof Immanuel, sv. Politiker og Videnskabsmand, (1796-1884)|0667
|2) Johan Fredrik, svensk Minister, (1796-1865)|0667
|3) Fredrik Edvard, sv. Statistiker, (1828-1867)|0667-0668
|Faar (Sl. Ovis. Lin.), en formrig Gruppe af de skedehornede Drøvtyggeres store Familie (Bovidæ)|0668-0677
|Faarbøte, i nordisk Mytologi en Jætte, Fader til Loke (bet. »den slemt stødende«; opr. et Navn paa Stormen).|0677
|Faarebremse, se Bremser.|0677
|Faareflue (Melopaågus ovlnus), se Pupipara.|0677
|Faareflynder (Fasciola hepatica), ogsaa kaldet Leverikte, er en stor 3 cm lang Ikte|0677-0678
|Faarehund, se Hunde.|0678
|Faarekopper, se Kopper. |0678
|Faarekyllinger (Gryllidæ) er den ene af de Fam., hvori Orthoptera genuina inddeles|0678-0679
|Faareleger, se Armeria.|0679
|Faaremaaned, se April.|0679
|Faareracer, se Faar.|0679
|Faaresyge, Parotitis epidemica (norsk Kusma), er en epidemisk optrædende Betændelse af Ørespytkirtlen (Parotis)|0679
|Faaretæge, se Pupipara.|0679
|Faareuld, se Uld.|0679
|Faarevejle, opvoksende Stationsby i det nordvestlige Sjælland, F. Sogn, Ods Herred, Holbæk Amt, c. 20 km NV. f. Holbæk|0679
|Faarevejle, Hovedgaard paa Langeland, S. f. Rudkjøbing paa en Halvø, opr. Ø, paa Vestkysten|0679
|Faarup, opvoksende Stationsby i Østjylland, F. Sogn, Nørhald Herred/Randers Amt, c. 14 km NV. f. Randers|0679
|Faarvang, opvoksende Stationsby i Østjylland, Tvilum Sogn, Gjern Herred, Aarhus Amt, henved 20 km NØ. f. Silkeborg|0679-0680
|Fårö, en lille Ø (c. 11 km2) i Østersøen ved Nordspidsen af den sv. Ø Gotland|0680
|Faavne, den »Orm« *c: Slange, som efternordiske Heltesagn Sigurd Sigmundsøn dræbte, hvorved han fik Tilnavnet Faavnesbane.|0680
|Faba, se Vikke.|0680
|Fabel (lat. fabula) betegner i videre Forstand Genstanden, Stoffet, Indholdet, Handlingen i den handlingsfremstillende Digtning|0680
|Fabeldigtning. Ved Fabel forstaas en egen Art af den episke Digtning, der hører med til Menneskehedens urgamle Poesi|0680
|Fabelepope, komisk ell. humoristisk Heltedigt, i hvilket Dyrene spiller Menneskets ell. Mennesket højere Væseners Rolle|0680
|faber (lat.), Smed, og overhovedet enhver Haandværker, der arbejder i haardt Materiale|0680-0681
|Faber, Andreas William, dansk Forf., (1847-1883)|0681
|Faber, Ernst, tysk Missionær og Sinolog, (1839-1899)|0681
|Faber, Frederik, dansk Zoolog, (1795-1828)|0681
|Faber, Harald Nicolai, dansk Landbrugskonsulent, (1856- )|0681
|Faber, Johann Lothar von, tysk Fabrikant (1817-96)|0681
|Faber, Johan Valdemar, dansk Generalkonsul, (1849-1917)|0681
|Faber, Jan eller Johan, alm. kaldet John, Navn paa to Mezzotintokunstnere af holl. Byrd|0682
|Den ældre F. (o.1650-1721)|0682
|Hans Søn, den yngre J. F., (o.1686-1756)|0682
|Faber, Jørgen Christian Theodor, dansk Postembedsmand, (1824-1886)|0682
|Faber, Knud Helge, dansk Læge, (1862- )|0682
|Faber, Nikolaj, Biskop i Odense, (1789-1848)|0683
|Faber, Peter Christian Frederik, dansk Telegrafdirektør og Forf., (1810-1877)|0683
|Faber, Peter Ditlev, dansk Præst og landøkonomisk Forf., (1768-1847)|0683
|Faber, Stapulensis Jacob (Jacques Lefévre d'Etaples), fr. Humanist og Teolog, (c.1455-1536)|0683
|Faber, Viggo Sigurd Valdemar, dansk Sparekasseinspektør, (1828-1899)|0683-0684
|Faber du Faur, Otto von, tysk Slagmaler, (1829-1901)|0684
|Fabert [farbæ.r], Abraham, Marskal af Frankrig, (1599-1662)|0684
|Fabiana Ruiz et Pav., Slægt af Natskyggefamilien, smaa Buske af et lynglignende Ydre|0684
|Fabianin kaldes et Stof, der forekommer i Bladene af Fabiana imbricata|0684
|Fabian Society, et Januar 1884 i London stiftet Selskab til Propaganda for en fredelig, antirevolutionær Socialisme|0684
|Fabianus, Biskop i Rom 236-250|0684
|Fabierne, Medlemmer af Slægten Fabius.|0684
|Fabius, en af det gamle Roms ældste og mest berømte patriciske Slægter|0684-0685
|fable convenue (fr.), opdigtet Historie, som man er enig om at lade gælde for Sandhed|0685
|fabliau eller korrektere fableau, bruges som Fællesbenævnelse for de versificerede lystige Fortællinger|0685
|Fabre, |0685
|l) Auguste, fr. Forf., (1792-1839)|0685-0686
|2) Victorin, fr. Forf., (1785-1831)|0686
|Fabre, Ferdinand, fr. Romanforf,, (1830-1898)|0686
|Fabre, Francois Xavier, fr. Historiemaler og Raderer, (1766-1837)|0686
|Fabre, Joseph, fr. Forf., (1842- )|0686
|Fabre, Jules Henri, fr. Entomolog, (1823-1915)|0686
|Fabre, Paul, fr. Historiker, (1859-99)|0686-0687
|Fabre, Pierre Jean, fr. Kemiker og Læge, f. i Slutn. af 16. Aarh.|0687
|Fabre d'Églantine , Philippe François Nazaire, fr. dram. Forf. og Revolutionsmand, (1750-1794)|0687
|Fabretti, Ariodante, italiensk Sproggransker og Oldgransker, (1816-1894)|0687
|Fabretti, Rafaello, ital. Oldgransker, (1619-1700)|0687
|Fabriano, By i Mellem-Italien, Provins Ancona, ligger 60 km VSV. f. Ancona|0687
|Fabriano, se Gentile.|0687
|fabrica (lat.), Byggekunst, Bygning, Værksted. Nylat. f. ecclesiæ, Kirkeformue.|0687
|Fabrice, Georg Friedrich Alfred, Greve, sachsisk General, (1818-1891)|0687
|Fabricius, fuldstændig Gajus F. Luscinus, rom. Statsmand og Hærfører, ( -275 f.Kr.)|0687-0688
|Fabricius, Adam Kristoffer, dansk Historiker, (1822-1902)|0688
|Fabricius, |0688
|1) David, holl. Astronom (1564-1617)|0688
|2) Johan, (1587-1615), opdagede 1611 en Solplet|0688
|Fabricius, Frederik, dansk Bibliotekar, (1789-1873)|0688
|Fabricius, Hieronymus ab Aquaperidente (Girolamo Fabrizio), italiensk Anatom, (1537-1619)|0688
|Fabricius, Jacob, mecklenburgsk og dansk Livlæge, (1576-1652)|0688
|Fabricius, Jacob Christian, (1840- )|0688
|Fabricius, Jens Schou, dansk-norsk Søofficer, (1758-1841)|0688-0689
|Fabricius, Johan Christian, dansk Zoolog og økonomisk Forf., (1745-1808)|0689
|Fabricius, Johann Albert, klassisk Filolog og Litteraturhistoriker, (1668-1736)|0689
|Fabricius, Knud, dansk Historiker, (1875- )|0689
|Fabricius, Otto, dansk Præst, Zoolog og Sprogmand, (1744-1822)|0689-0690
|Fabricius Hildanus (Wilhelm Fabry) er det .alm. benyttede Navn for 16. Aarh.'s berømteste tyske Saarlæge (1560-1634)|0690
