# salmonsen/2/8/Articles.lst
#
index|Titel og indhold|0001 0003 0005
|forlægge|0509
|forlænge|0509
|forlængede Marv|0509
|Forlængelse|0509
|Forlængelse|0509
|Forløber|0509
|Forløber|0509
|Forløfte|0509
|Forløser|0509
|Forløsning|0509-0510
|Forløsning|0510
|Form|0510
|Form|0510
|Form|0510-0511
|Form (mat.)|0511
|Form (jur.)|0511
|Form ell. Ildform|0511
|Form, Støbning|0511-0512
|forma|0512
|Formaal|0512
|formal|0512
|Formaldehyd|0512-0513
|Formalin|0513
|Formalisme|0513
|formaliter|0513
|Formaliteter|0513
|Formalitetsprocedure|0513
|Formalkontrakt|0513
|Formamid|0513
|Forman|0513
|Formand|0513
|Formandskab|0513
|Formanilid|0513-0514
|Format|0514
|Format Charpentier|0514
|Formation (lat.)|0514
|Formation (geol.)|0514
|Formbræt|0514
|Formel|0514
|Formel (bot.)|0514
|Formel (kem.)|0514-0515
|Formel (mat.)|0515
|formel (fr.)|0515
|formel behørig Adkomst|0515
|Formentera|0515
|Former|0515
|formere|0515
|Formeri|0515
|Formering (zool.)|0515
|Formering, Planternes vegetative|0515-0517
|Formeringshus|0517
|Formes, Karl Johann|0517
|Formforhold|0517
|Form for Ægteskab|0517
|Formfrugttræer|0517
|Formia|0517-0518
|Formiater|0518
|Formica, se Myrer|0518
|Formica, Øer|0518
|Formicatio|0518
|Formicidæ|0518
|formidabel|0518
|Formiddagsvagt|0518
|formildende Omstændigheder|0518
|Formin|0518
|Formindskelsesglas|0518
|Formindskelsesord|0518
|formindsket|0518
|formindsket Tilregnelighed|0518
|Forminx|0518
|Formion|0518
|Formiæ, se Formia|0518
|Formkasse|0518-0519
|Formkul|0519
|Formler|0519
|Formlære|0519
|Formlære, Planternes|0519
|Formmaskine|0519
|Formmasse|0519
|Formning|0519-0520
|Formodning|0520
|Formol|0520
|Formonitril|0520
|Formosa, argentinsk Territorium|0520
|Formosa (By)|0520
|Formosa, Taiwan|0520-0521
|Formosa-Strædet|0521
|Formoso|0521
|Formosus|0521
|Formpunkt|0521
|Formsand|0521-0522
|Formskærerkunst|0522
|Formskønhed|0522
|Formsnit|0522
|Formsten|0522
|Formstift|0523
|Formtal|0523
|Formue|0523
|Formueafstaaelse|0523
|Formuefællig|0523
|Formue- og Lejlighedsskat|0523
|Formueret|0523-0524
|Formueskat|0524
|formula|0524
|Formular|0524
|Formularbøger|0524-0525
|Formularproces|0525-0526
|Formuldning|0526
|Formumning|0526
|Formyl|0526
|Formyljodid|0526
|Formylsyre|0526
|Formyltriklorid|0526
|Formynder|0526
|Formynderregering|0526-0527
|Formynderskab|0527
|Formæstetik|0527
|Formørkelse|0527
|fornagle|0527
|Fornaldarsagaer|0527
|Fornander, Andreas|0527
|Fornarina|0527-0528
|Fornavn|0528
|Fornax|0528
|Fornedrelse, Kristi|0528
|Fornelius, Lars|0528
|Fornemmelse|0528-0529
|fornicaria|0529
|Fornikling|0529
|Fornix (lat.)|0529
|Fornix, i Anatomien|0529
|Fornjot|0529-0530
|Fornmannasögur|0530
|Fornuft|0530
|Fornuftens Brug|0530
|Fornyelse af Skyldforhold|0530
|Fornyelsesdom|0530
|Fornyelsesfond|0530
|fornyet Behandling|0530
|Fornyrðislag|0530-0531
|Fornærmelse|0531
|Fornærmelsesværneting, se Værneting|0531
|Fornæs|0531
|Foroneus|0531
|Foroni, Jacopo|0531
|Forordning|0531
|Forpagter|0531
|Forpagtning|0531-0532
|Forparlamentet|0532
|Forplantning|0532-0533
|Forplantning (bot.)|0533
|Forplantningsblade|0533
|Forplantningsskud|0533
|Forplejningskorpset|0533
|Forplejningsstationer|0533-0534
|Forpligtelse|0534
|Forpløjning|0534
|Forpommern|0534
|Forposter|0534
|Forprang|0534
|Forpufning|0534
|Forraadnelse|0534-0535
|Forraadnelsesbakterier|0535
|Forraadnelsesfeber|0535
|Forraadsvæv|0535
|Forrejsning|0535
|Forres|0535
|Forrest, Edwin|0535
|Forrest, 2 Opdagelsesrejsende|0535-0536
|Forretning|0536
|Forretningsfører|0536
|Forretningsorden|0536-0537
|Forretningspapirer|0537
|Forrykthed|0537
|Forræderi|0537
|Fors|0537
|Forsager|0537
|forsagt|0537
|Forsamlingsretten|0537-0538
|Forsand, Herred|0538-0539
|forsan et hæc|0539
|Forsatspapir|0539
|Forsberg, Niels|0539
|forsee|0539
|Forseelse|0539
|Forseglingspenge|0539
|Forsejl|0539
|Forsell, Carl Gustaf Abrahamson|0539
|Forsell, Karl Gustav af|0539
|Forsell, Karl Johan (John) Jakob|0539-0540
|Forsete|0540
|Forshall, Josiah|0540
|Forsignal|0540
|Forsikring|0540-0542
|Forsikringsraad|0542
|Forsikringsselskaber|0542
|Forsikringstvang|0542-0543
|Forsinkelse|0543
|Forsinkning|0543
|Forsiring (paa Bygninger)|0543
|Forsiring (mus.)|0543
|Forsius, Sigfrid Aron|0543
|Forskål, Pehr|0543
|forskalle|0543
|forskanset Lejr|0543-0544
|Forskansning|0544
|Forskod|0544
|Forskole|0544
|Forskoleseminarium|0544
|Forskrivning|0544
|Forskud|0544
|Forskudsforeninger|0544
|Forskydning (geol.)|0544
|Forskydning (Klaver)|0544
|Forskydning (bot.)|0544-0545
|Forskydning af Last (Søv.)|0545
|Forskydningsstrøm|0545
|Forskydningsstyrken|0545
|Forskær|0545
|forskære|0545
|Forslag|0545-0546
|Forslag (mus.)|0546
|Forslamning|0546
|Forslimning|0546
|Forsman, Georg Z.|0546
|Forsman, Jaakko Oskar|0546
|Forsmeltemaskine|0546
|Forsmække,|0546
|Forsnævring|0546
|Forsoning|0546-0550
|Forsoningsdagen|0550
|Forspand|0550
|Forspil|0550
|Forspærring|0550
|Forssell, Hans Ludvig|0550
|Forssell, Karl Bror Jakob|0550-0551
|Forssell, Kristian Didrik|0551
|Forssell, Viktor Reinhold|0551
|Forsslund, Jonas|0551
|Forsslund, Karl-Erik|0551
|Forst (By)|0551
|Forst (Skov)|0551
|forstaale|0551
|Forstad|0551
|Forstakademi|0551-0552
|Forstand|0552
|Forstanderskab|0552
|Forstandsøvelse|0552
|Forstassistent|0552
|Forstavelse|0552
|Forstbotanik|0552
|Forstdocent|0552
|Forsteksamen|0552
|Forsten, Filip August|0552
|Forsten, Georg August|0552
|Forstening|0552-0553
|Forster, Caspar|0553
|Forster, Johann Georg Adam|0553
|Forster, Johann Reinhold|0553
|Forster, John|0553-0554
|Forster, William Edvard|0554
|Forsterit|0554
|Forstforening|0554
|Forstilling|0554
|Forstinddeling|0554
|Forstinsekter|0554-0561
|Forstinspektør|0559
|Forstkandidat|0559
|Forstoppelse, Obstipatio ell. Obstructio alvi|0559 0562
|Forstrand|0562
|Forstrandsret|0562
|Forstreng|0562
|Forstrækning|0562
|Forsttaksation|0562
|Forstteknologi|0562
|Forstue|0562
|Forstuesvale|0562
|Forstuvning|0562
|Forstvidenskab|0562
|Forstvæsen|0562
|Forstzoologi|0562
|Forstærker (i Fotografien)|0562
|Forstærkning (i Bygningssproget)|0562
|Forstærkningen|0562
|Forstævn|0563
|forstørrede Intervaller|0563
|Forstørrelsesglas|0563
|Forstøver|0563
|Forsvar|0563
|Forsvarer|0563
|Forsvarsbrødre, de danske|0563-0564
|Forsvarsdepartementet|0564
|Forsvarsminer|0564
|Forsvarsminister|0564
|Forsvarssagen|0564-0567
|Forsvarsstilling|0567
|Forsvindingsaffutage|0567
|forsvunden|0567
|Forsyn|0567-0569
|Forsyth, 1) Douglas, 2) William|0569
|Forsythia Vahl|0569
|Forsæbning|0569
|Forsænkning|0569
|Forsænkninger|0569
|Forsæt|0569-0570
|Forsætning|0570
|Forsætter|0570
|Forsøg (fys.)|0570
|Forsøg (Straffelov)|0570
|Forsøgsstation|0570
|Forsøgsstation for Ferskvandsfiskeri|0570
|Forsølvning,|0570-0571
|forsømte Børn|0571
|Forsørgelse, forsørgelsesberettiget|0571
|Forsørgelsesanstalt|0571
|Forsørgelseskontrakter|0571
|Forsørgelsessted|0571-0572
|Fort|0572
|Fortabelse|0572
|Fortaleza (Ceara)|0572
|Fortand|0572
|Fortanding|0572
|Fort Assiniboine|0572
|Fort Augustus|0572
|Fort Beaufort|0572
|Fort Benton|0572
|Fort Dauphin|0572
|Fort de France|0572
|Fort de l'Écluse, se Écluse|0572
|Fort Dodge|0572
|Forte (Plads)|0572
|forte (mus.)|0572
|Fort Edward|0572
|Fortegn (mat.)|0573
|Fortegn (i Musikken)|0573
|Forteguerri, Niccolo|0573
|Forteguerri eller Fortiguerra, Scipione|0573
|Fortepiano,|0573
|Fortescue, Flod|0573
|Fortescue, eng. Adelsslægt|0573
|Fortescue, Chichester|0573
|fortes fortuna adjuvat|0574
|Fortfæstning|0574
|Forth|0574
|Forth-Broen|0574
|Forth- og Clyde-Kanalen|0574
|Fort Howard|0574
|Fortid|0574
|Fortifikation|0574
|Fortifikationen|0574
|Fortiguerra|0574
|Fortinning|0574-0575
|fortis|0575
|Fortis, Alessandro|0575
|fortissimo,|0575
|fortiter in re, suaviter in modo|0575
|Fortjenstmedailler|0575-0576
|Fortlage, Arnold Rudolf Karl|0576
|Fortlinie|0576
|Fort Madison|0576
|Fortnightly review|0576
|Fortolkning|0576
|Fortolkning (jur.)|0576-0580
|fortone|0580
|Fortoning ell. Vignettering|0580
|Fortore|0580
|Fortoul, Hippolyte|0580
|Fortov|0580-0581
|Fort Pillow|0581
|Fortrav|0581
|Fort Riley|0581
|Fortrop|0581
|Fortryk|0581
|fortrykket|0581
|Fort Scott|0581
|Fort Smith|0581
|Fortsættelsesskoler|0581-0582
|Fortun|0582
|Fortuna|0582
|Fortunatov, Filip Fjodorovitsch|0582
|Fortunatus|0582
|Fortunatus, V.|0582
|Fortune, Robert|0582-0583
|Fortuny y Carbo, Mariano José Maria|0583
|Fort Wayne|0583
|Fort William (Skotland)|0583
|Fort William (Dominion of Canada)|0583
|Fort Worth|0583
|Fortælling|0583
|fortærlige|0583-0584
|Fortætning af Damp|0584
|Fortætning af Luftarter|0584
|Fortætningspumpe|0584
|Fortøj|0584
|fortøje|0584
|Fortøjningsbøjer|0584
|Fortøjningspæle|0584
|Fortøjningsredskaber|0584
|Fortøjningsringe|0584
|fortømre|0584
|for ud|0584
|Forudbestemmelse|0584
|Forudbetaling|0584
|Forudhold|0584
|Forudsætning|0584-0585
|Forum (lat.)|0585
|Forum (jur.)|0585
|Forundersøgelse|0585-0586
|Forurening (af Fiskevande)|0586
|Forvalter|0586
|Forvaltning|0586
|Forvaltningsret|0586-0587
|Forvaltningsretspleje|0587
|Forvandling (zool., min.)|0587
|Forvandling (mat.)|0587
|Forvaring, se deponere|0587
|Forvarmer|0587
|Forvedning|0587-0588
|Forveksling, enharmonisk|0588
|Forventningsprincippet|0588
|Forverden|0588
|Forvirring|0588
|Forvirringens Aar|0588
|Forvisning|0588-0589
|Forvitring|0589
|Forvoksning, forvokse sig,|0589
|Forvridning|0589
|forward|0589-0590
|forza|0590
|forzato|0590
|Forzinkning|0590
|Forædling|0590-0593
|Forældelse|0593-0594
|Forældelse af Strafskyld|0594-0595
|Forældremagt|0595
|Forældremyndighed|0595
|Fos|0595
|Foscari, Francesco|0595
|Foscolo, Ugo|0595-0596
|Fosen Fogderi|0596
|Fosfater|0596
|Fosfatider|0596
|Fosfatknolde|0596
|Fosfatsediment|0596
|Fosfatsten|0596
|Fosfaturi|0596
|Fosfider|0596
|Fosfin|0596
|Fosfiner|0596-0597
|Fosfitter|0597
|Fosfoniumbaser, kvaternære|0597
|Fosfoniumforbindelser|0597
|Fosfor|0597-0598
|Fosforbrinte|0598
|Fosforbromider|0598
|Fosforbronze|0598-0599
|Fosforescens|0599
|fosforescerende Organer|0599
|Fosforeter|0599
|Fosforforgiftning|0599-0600
|Fosforister|0600
|Fosforit|0600
|Fosforjodider|0600
|Fosforklorider|0600
|Fosforkobbermalm,|0600
|Fosforlatværge|0600
|Fosformetaller|0600-0601
|Fosfornekrose|0601
|Fosfornikkeljern|0601
|Fosforochalcit|0601
|Fosforolie|0601
|Fosforos|0601
|Fosforoskop|0601
|Fosforoxybromid|0601
|Fosforôxyklorid|0601
|Fosforpentafluorid|0601
|Fosforpentaklorid, se Fosforklorider|0601
|Fosforpentoxyd, d. s. s. Fosforsyreanhydrid|0601
|Fosforsalt (Salmikrokosmicum)|0601
|fosforsure Salte, d. s. s. Fosfater|0601
|fosforsur Kalk, se Kalciumfosfat|0601
|fosforsur Lerjord|0601
|Fosforsyre|0601
|Fosforsyreanhydrid|0602
|Fosforsyrling|0602
|Fosforsyrlinganhydrid|0602
|Fosfortrijodid|0602
|Fosfortriklorid,|0602
|Fosfortrioxyd|0602
|Fosfortændstikker|0602
|Fosforundersyre|0602
|Fosforundersyrling|0602
|Fosfosiderit|0602
|Fosgen|0602
|Fosgenit|0602
|Fosheimsæteren|0602
|Fosie, Johanne Marie|0602
|Foslie, Mikael Heggelund|0602-0603
|Fosnes, Herred|0603
|Foss, Alexander|0603-0604
|Foss, Anders|0604
|Foss, Frithjof|0604
|Foss, Harald Frederik|0604
|Foss, Henrik Herman|0604
|Foss, Julius Christian|0604
|fossa|0604
|fossa Drusiana|0604
|Fossano|0604
|Fossano, Ambrogio di Stefano da|0604-0605
|Fosse,|0605
|Fossegrim|0605
|Fossekal|0605
|Fossesholm|0605
|Fossestrup og Fossestup|0605
|Fosseux|0605
|fossil|0605
|Fossiler|0605
|fossile Skove|0605
|Fossombrone|0605
|Fossombroni, Vittorio|0605
|Fossoria|0605
|Fossum Jernværk|0605
|Fostat|0605
|Fostbroder|0605-0606
|Fóstbrœðrasaga|0606
|Fostbrødrelag|0606
|Foster (Embryo eller Foetus)|0606-0610
|Foster (jur.)|0610
|Foster, engelsk Vægt|0610
|Foster, Birket|0610
|Foster, John Wells|0610
|Foster, Michael|0610
|Foster, Stephens Collins|0610
|Fosterbevægelser|0610
|Fosterblære|0610
|Fosterdele|0610
|Fostrets Holdning|0610
|Fosterfordrivelse|0610-0611
|Fosterfordrivelse (jur.)|0611
|Fosterhinder ell. Æghinder|0611
|Fosterhinder|0611-0612
|Fosterlands-Stiftelsen, Evangeliska|0612-0614
|Fosterleje|0614
|Fosterlyd|0614-0615
|Fosterstilling, se Fosterleje|0615
|Fostervand eller Modervand, Amnionsvædske, Liquor amnii|0615
|Fostoria|0615
|Fothergilla|0615
|Fotheringhay|0615
|Fotios|0615
|Fotoalgrafi|0615
|Foto-Bakterier|0615
|Fotoelektricitet|0615
|fotoelektriske Fænomener|0615
|Fotofobi|0615
|Fotofon|0615-0616
|Fotogalvanografi|0616
|Fotogalvanoplastik|0616
|Fotogalvanotypi|0616
|Fotogelatinografi|0616
|Fotogen|0616
|Fotoglypti|0616
|Fotografi|0616-0625
|Fotografibeskyttelse|0625-0626
|fotografiske Objektiver|0626-0633
|Fotogram|0633-0634
|Fotogrammetri|0634-0635
|Fotogravure|0635
|Fotoheliograf|0635
|Fotokemi|0635
|Fotokemigrafi|0635
|Fotokeramik|0635
|fotokromatisk Terapi|0635
|Fotokromi|0635
|Fotokromoskop|0635-0636
|Fotolitografi|0636
|Fotoltryk|0636
|fotomekaniske Reproduktionsmetoder|0636
|Fotometer, se Fotometri|0636
|Fotometri ell. Lysmaaling|0636-0642
|Fotometri, fotografisk|0642-0643
|Fotonasti, se Bevægelser (Planters)|0643
|Fotoplastik|0643
|Fotopolymerisation|0643
|Fotopsi|0643
|Fotorelieftryk|0643
|Fotosfære|0643
|Fotoskulptur|0643
|Fotosyntese|0643
|Fototaxis|0643
|Fototeknik|0643
|Fototelegrafi|0643
|Fototerapi|0643
|Fototropisme|0643
|Fototypi|0643
|Fotoxylografi|0643
|Fotozinkografi|0643
|Fotozinkotypi|0643
|Fotscha, d. s. s. Foča|0643
|Foucart, Paul|0644
|Foucault, Jean Bernard Leon|0644
|Foucaults Pendulforsøg|0644
|Foucault-Strømme|0644
|Foucaux, Philippe Édouard|0644
|Fouché, Joseph|0644-0646
|Foucher, Paul Henri|0646
|Foucquet, Jean|0646-0647
|Foucquet, Nicolas|0647
|Foudras, Louis Auguste Theodore|0647
|Fougères|0647
|Fougerolles|0647
|Fougstad, Carl Andreas|0647
|Fougt|0647
|Fougt, Henrik|0647
|Fouillée, Alfred Jules Émile|0648
|Foula, |0648
|Foulards, Bandanos|0648
|Foulché-Delbosc, Raymond|0648
|Fould, Achille|0648-0649
|Foulon, Joseph François|0649
|Foulpointe|0649
|Fouqué, Friedrich Heinrich Carl de la Motte|0649
|Fouque, Pierre Octave|0649
|Fouquet|0649
|Fouquier, Jacques François Henry|0649-0650
|Fouquières, Jacques|0650
|Fouqüier-Tinville, Antoine Quentin|0650
|Fourage|0650
|Fourcaud [furrko], Louis de Boussès de|0650
|Fourchambault|0650
|fourchette|0650
|Fourchette|0650
|Fourcroy Antoine François de|0650-0651
|Fourcroya Schult.|0651
|Foureau, Fernand|0651
|Fourer|0651
|Fourès, Auguste|0651
|Fourichon, Martin|0651
|Fourier, François Marie Charles|0651-0652
|Fourier, Jean Baptiste Joseph, de|0652-0653
|four-in-hand|0653
|Fourmies|0653
|Fourmois, Théodore|0653
|Fourmont, 1) Étienne, 2) Michel, 3) Claude Louis|0653
|Fourneau, Léon|0653
|Fourneaux-Øerne|0653
|Fournel, François Victor|0653-0654
|Fournet, Joseph Jean Baptiste Xavier|0654
|Fourneyron Turbine|0654
|Fournier, Alfred|0654
|Fournier, Édouard|0654
|Fournier, Henri|0654
|Fournier, Louis|0654-0655
|Fournier, Marc Jean Louis|0655
|Fournier le jeune, Pierre Simon|0655
|Fourniture|0655
|Fourpence|0655
|Fourth-Party|0655
|Fourtou, Oscar Bardy de|0655
|Foussier, Édouard|0655
|fovea|0655
|Foveaux-Stræde|0655
|Foville, Alfred de|0655
|F. o. w.|0655
|Fowey|0655-0656
|Fowler, Alfred|0656
|Fowler, Ellen Thorneycroft|0656
|Fowler, Henry|0656
|Fowler, Sir John|0656
|Fowlerit|0656
|Fowlers Arsenikdraaber|0656
|Fox|0656
|Fox, Charles James|0656-0657
|Fox, George|0657-0658
|Fox, H.|0658
|Fox, H.|0658
|Fox, William Johnson|0658
|Fox Bassin|0658
|Foxe, John|0658
|Foxe, Luke|0658
|Foxhound|0658
|Fox-Kanalen|0658
|Fox River|0659
|Fox-Terrier|0659
|Foy, Maximilien Sébastien|0659
|Foyait|0659
|Foyatier, Denis|0659
|Foyer|0659
|Foyers|0659
|Foyle|0659
|Foyn, Svend|0659-0660
|F. p. a.|0660
|f. pil.|0660
|f. pulv.|0660
|Fra|0660
|Fra|0660
|Fraade,|0660
|Fraadsten|0660
|Fraanangersfos|0660
|Fra Angelico|0660
|Fraas, Eberhard|0660
|Fraas, Oskar Friedrich|0660
|Fraates|0660-0661
|Fra Bartolommeo|0661
|fra Borde|0661
|Fracastoro, Girolamo|0661
|Fraccaroli, Innocenzo|0661
|Fractura|0661
|Fra Diavolo|0661
|Frae...|0661
|Fraga|0661
|Fragaaelse af Arv og Gæld|0661
|Fragaria|0661
|Fragiacomo, Pietro|0661
|Fragllitas ossium|0661
|Fragilitet|0661
|Fragment|0661
|Fragonard, 1) Jean Honoré, 2) Alexandre Evariste|0662
|Fragt, 1) Ladning, 2) Vederlag|0662-0663
|Fragtbrev|0663
|Fragtbrevsduplikat|0663
|Fragtfart|0663
|Fragtforretning|0663
|Fragtforskud|0663
|Fragtfører|0663
|Fragtkontrakt|0663-0664
|Fragtret|0664
|Frahier|0664
|Frahug|0664
|Fraikin, Charles Auguste|0664
|frailty, thy name is woman|0664
|Fraipont, Gustave|0664
|Frak|0664-0665
|Fraknoi, Wilhelm|0665
|Fraktion|0665-0666
|fraktioneret Destillation|0666
|Fraktur|0666
|Fraktur|0666
|Fram, Ugeblad|0666
|Fram, Skib|0666-0667
|Fra Mauro|0667
|Frambøsi|0667
|Frameries|0667
|Framingham|0667
|Framlev, Herred|0667
|Frammers|0667
|Framnes|0667
|Framnes mekaniske Verksted|0667
|Frampton, George|0667-0668
|Franangerfos|0668
|Franc|0668
|Français|0668
|Français, François Louis|0668
|Française, Dans|0668
|Francavilla Fontana|0668
|France, Anatole|0668-0669
|France, La|0669
|Francesca, P. di Benedetto de Franceschi, Pietro∫|0669-0670
|Francesca|0670
|Franceschini, Baldassare|0670
|Franceschini, Marcantonio|0670
|Franceville|0670
|Franche-Comté|0670-0671
|Franchet|0671
|Franchetti, Alberto|0671
|Francheville, Pierre|0671
|Franchi, Alessandro|0671
|Franchise|0671
|Franchomme, Auguste|0671-0672
|Francia|0672
|Francia, Francesco Raibolini|0672
|Francia, José Gaspar Thomas Rodriguez|0672
|Franciabigio|0672
|Franciade|0672
|Francien|0672
|Francis, L. M.|0672
|Francis, Philip|0672-0673
|Franciscello|0673
|Francisco|0673
|Franciscus fra Assisi|0673
|Franciskanerordenen|0673-0674
|Francis Trollope|0674
|Franck, César Auguste|0674
|Franck, 1) Melchior, 2) Johann Wolfgang|0674-0675
|Franck, Sebastian|0675
|Francke, August Hermann|0675-0676
|Francke, Carl Filip|0676
|Francke, Ernst|0676
|Francke, Paul|0676
|Franckeit|0676
|Francken, flamsk Malerfamilie|0676-0677
|Franckenstein, Georg Arbogast|0677
|Francke's Stiftelser|0677
|franco, frit|0677
|Franco, Franc|0677
|Franco, to fremragende Tonelærere|0677
|Franco, Giovanni Battista|0677
|Franco, de Castello, Joao Fereira|0677
|Franco, Niccolo|0677-0678
|Francœur, 1) François, 2) François, 3) Louis Joseph|0678
|François, Françoise|0678
|François, Havnestad|0678
|François, Alphonse|0678
|François, Jean Charles|0678
|François, Kurt v.|0678
|François, Luise von|0678
|François, Nicolas Louis|0678
|François-Vasen|0678-0679
|Francquart, Jacques|0679
|Francq van Berkhey, Jan|0679
|Francs archers|0679
|Francs-tireurs|0679
|Francucci, se Imola|0680
|Francæse|0680
|Frandsen, Hans (Johannes Franciscus Ripensis)|0680
|Franeker|0680
|Frangipani|0680
|Frangula, se Rhamnus|0680
|Frangula, Tørstetræbark|0680-0681
|Frangulin (Rhamnoxanthin, Avornin)|0681
|Frank, d. s. s. Franc|0681
|Frank, Albert Bernhard|0681
|Frank, Franz Hermann Reinholt von|0681
|Frank (ell. Frenk), Jacob|0681
|Frank, Johann Peter|0681
|Frank, Reinhard|0681-0682
|Frank, Sebastian, d. s. s. Franck|0682
|Franke, Felix|0682
|Franke, R. Otto|0682
|Franke-Klint|0682
|Frankel, Zacharias|0682
|Franken|0682-0683
|Frankenau, Georg Franck de|0683
|Frankenau, Georg Friedrich Franck de|0683
|Frankenau, Rasmus|0683
|Frankenberg|0683
|Frankenberg, Johann Heinrich v.|0683
|Frankenhausen|0683
|Frankenstein|0683
|Frankenthal|0683
|Frankenwald|0684
|Franker|0684
|Frankerbjerget (djebel furêdîs, »Paradis- elle. Parkbjerget«)|0684
|Frankerdolomit|0684
|frankere|0684
|Frankervine, Würzburgervine|0684-0685
|Frankfort|0685
|Frankfurt am Main|0685-0687
|Frankfurt an der Oder|0687
|Frankfurter-Zeitung|0687
|Frankfurt-Freden|0687-0688
|Frankfurt-Parlament|0688
|Frankfurt-Sort|0688
|frankiske Kejsere (saliske Kejsere)|0688
|frankiske Kreds, se Franken|0688
|frankiske Rige, Det|0688
|frankisk Karpe, se Karpeavl|0688
|frankisk-schawbiske Jura|0688
|Frankisme|0688
|Frankistan|0689
|Frankl, Lothar|0689
|Frankl, Ludwig August|0689
|Frankland, Edward|0689
|Franklin, hyppigt Stednavn i U. S. A.|0689
|Franklin, F. District|0689
|Franklin, Benjamin|0689-0691
|Franklin, Sir John|0691-0693
|Franklin Bai|0693
|Franklinisation, se Elektroterapi|0693
|Franklinit|0693
|Franklins Kogerør|0693
|Franklins Tavle|0693
|franko|0693
|Franko, Ivan Jakovlevitsch|0693
|Frankolinhøns (Francolinus)|0693
|Frankomani (Gallomani)|0693
|Frankoseddel|0693-0694
|Frankotvang|0694
|Frankrig|0694-0696 0698-0823
|Franqueville, se Francheville|0823
|Franscini, Stefano|0823
|Fransecky, Eduard Friedrich|0823
|Fransen van de Putte, Isaac Dignus|0823
|Frans fra Assisi|0823-0824
|Frans fra Paola (Paula)|0824
|Frans fra Sales|0825
|Franskbind, se Bogbinderi, S. 541|0825
|fransk Broderi|0825
|fransk Brændevin, se Kognak|0825
|franske Akademi, se Akademi, S. 355|0825
|franske Dukker, Modedukker|0825
|franske Kartofler (fr. pommes de terre frites)|0825
|franske Revolution, se Frankrig, »Historie«|0825
|franske Revolutionskrige|0825-0832
|franskfodet|0832
|Fransk Guinea|0832
|fransk Guld|0832
|Fransk Guyana|0832
|Fransk Indien (Établissements de l'Inde)|0832
|Fransk Indokina (Indochine française)|0832-0833
|fransk Koloni i Danmark|0833
|Fransk Kongo|0833
|fransk Lillie|0833
|fransk Rajgræs|0833
|Franskrødt|0833
|fransk Skjold|0833
|Fransk Somaliland|0833
|fransk Stil, se Havekunst|0833
|Fransk Sudan|0833
|fransk-tyske Krig 1870—71|0833-0842
|Fransk Vestafrika|0842
|Fransk Ækvatorialafrika|0842
|Frants (Frands, Frans, tysk Frantz)|0842
|Frants I, Konge af Frankrig|0842-0843
|Frants II, Konge af Frankrig|0843-0844
|Frants I, Konge af begge Sicilierne|0844
|Frants II, Konge af begge Sicilierne|0844
|Frants I, Stefan, tysk-romersk Kejser|0844-0845
|Frants II, tysk-romersk Kejser|0845
|Frants IV, Hertug af Módena|0845-0846
|Frants V, Hertug af Móndena|0846
|Frants II, Hertug af Bretagne|0846
|Frants af Assisi|0846
|Frants Friedrich Xaver|0846-0847
|Frants Albrecht|0847
|Frants Ferdinand|0847
|Frants Josef|0847-0849
|Frants Josef's Fjord|0849
|Frants Josef's Land|0849-0850
|Frantz, Constantin|0850
|Frantzen, Knud|0850
|Franz, Johannes|0850
|Franz, Julius Heinrich|0850
|Franz, Robert|0850
|Franzén, Frans Michael|0850-0851
|Franzenbad (eller Kaiser F.)|0851
|Franzensfeste|0851
|Franzius, Ludwig|0852
|Franzos, Karl Emil|0852
|Franzoser, Franskmænd|0852
|Fraortes|0852
|Frapan, Ilse, se Levien, Ilse|0852
|Fra Paolo, se Sarpi|0852
|Frapié, Léon|0852
|frappere|0852
|Frasscati|0852
|Frase|0852
|Fraseologi|0852
|frasepareret Ægtefælle, se Separation|0853
|Fraser, Great Sandy Island|0853
|Fraserburg|0853
|Fraserburgh|0853
|Frasering|0853
|Fraser River|0853
|Fraserville|0853
|fraskilt, se Skilsmisse|0853
|Frasnes-lez-Buissenal|0853
|Frassen, Hohe, se Bludenz|0853
|Frassino|0853
|Frat, se Eufrat|0853
|frater|0853
|Fratercula, se Alkefugle|0853
|fraternisere|0853
|Fraticeller|0853
|fratres, se frater|0853
|fratres arvales, se Arvalbrødre|0853
|fratres minores, se Franciskanerordenen|0853
|Fratria ell. Fratra|0853
|Fratriark, se Fratria|0853
|fratricida (lat.), Bordermorder; fratricidium, Brodermord|0853
|Fratta Maggiore|0853
|Fraudation|0853
|Frauenberg (tschk. Hluboká)|0853
|Frauenburg|0853-0854
|Frauenchiemsee, se Chiemsee|0854
|Frauedorf|0854
|Frauenfeld|0854
|Frauenlob|0854
|Frauenwörth, se Chiemese|0854
|Frauenhofer, Josef von|0854
|Frauenhoferske Linier|0854
|fraus (lat.), Bedrageri; pia f., fromt Bedrageri|0854
|Fraustadt (polsk Wszowa)|0854
|Fravashi (Fravahr, Ferver)|0854-0855
|Fravdegaard|0855
|Fravænning|0855
|Fraxetin, se Fraxin|0855
|Fraxin (Paviin)|0855
|Fraxinus|0855
|Fray Bentos ell. Independencia|0855
|Fray Candil, se Bobadilla|0855
|Fraysinous, Denis|0855
|Frazer, James George|0855-0856
|frc., Forkortelse af Franc|0856
|F. R. C. P.|0856
|F. R. C. S.|0856
